id,timestamp,text,searchQuery,clean_content
1839287616509722900,2024-09-26 12:55:00+00:00,Indonesian fan makes a memorial poster of Speed when he was in Indonesia ❤️🇮🇩,speed in Indonesia ,Indonesian fan makes a memorial poster of Speed when he was in Indonesia 
1844034158705983798,2024-10-09 15:16:00+00:00,"Minister Of Communication And Information, Budi Arie Setiadi Hopes That Internet Speed Can Reach 100 Mbps throughout all Indonesia's regions In 2029.
#WestPapuan 
voi.id/en/technology/423190/",speed in Indonesia ,"Minister Of Communication And Information Budi Arie Setiadi Hopes That Internet Speed Can Reach 100 Mbps throughout all Indonesias regions In 2029
WestPapuan 
voiidentechnology423190"
1844031182419497008,2024-10-09 15:04:00+00:00,So in your words you think he is the same as some foreign fan from indonesia,speed in Indonesia ,So in your words you think he is the same as some foreign fan from indonesia
1844028133567345151,2024-10-09 14:52:00+00:00,"Minister of Communication and Information, Budi Arie Setiadi hopes that internet speed in Indonesia can reach the target of 100 Mbps in all regions on the next five years.
#WestPapuan 
antaranews.com/berita/438452…",speed in Indonesia ,"Minister of Communication and Information Budi Arie Setiadi hopes that internet speed in Indonesia can reach the target of 100 Mbps in all regions on the next five years
WestPapuan 
antaranewscomberita438452"
1836718975578690012,2024-09-19 10:48:00+00:00,"Speed is currently just having fun & doing side quests in Bali, Indonesia 😂🇮🇩",speed in Indonesia ,Speed is currently just having fun  doing side quests in Bali Indonesia 
1843952541421465728,2024-10-09 09:51:00+00:00,Watch :-Speed is currently in Indonesia & as soon as he got out of his car.,speed in Indonesia ,Watch Speed is currently in Indonesia  as soon as he got out of his car
1841159909070532842,2024-10-01 16:55:00+00:00,"🚨| WATCH: Speed reacts to his old self in Indonesia, practicing Javanese culture from the 9th century 🇮🇩",speed in Indonesia , WATCH Speed reacts to his old self in Indonesia practicing Javanese culture from the 9th century 
1837020890430570689,2024-09-20 06:48:00+00:00,Speed makes a monkey his friend & he tried to kiss speed in Indonesia 😂,speed in Indonesia ,Speed makes a monkey his friend  he tried to kiss speed in Indonesia 
1843683834623385780,2024-10-08 16:04:00+00:00,"In Wales, Conservatives criticize Labour's 20mph speed limits, citing poor implementation and public confusion, urging a review. Colleen Monfore's remains were found in a shark's stomach after her diving accident in Indonesia, raising questions about her… am1.news/usconservative/topi…",speed in Indonesia ,In Wales Conservatives criticize Labours 20mph speed limits citing poor implementation and public confusion urging a review Colleen Monfores remains were found in a sharks stomach after her diving accident in Indonesia raising questions about her am1newsusconservativetopi
1843648578805534727,2024-10-08 13:44:00+00:00,"@elonmusk  thanks Starlink has come to Indonesia, please gives us cheaper Starlink internet package or same price as provider in Indonesia, we are tired to complain about unstable and slow speed internet . me and my family will change to Starlink 😭",speed in Indonesia ,  thanks Starlink has come to Indonesia please gives us cheaper Starlink internet package or same price as provider in Indonesia we are tired to complain about unstable and slow speed internet  me and my family will change to Starlink 
1836347306032996439,2024-09-18 10:11:00+00:00,Speed is having the time of his life in Indonesia 😂🇮🇩,speed in Indonesia ,Speed is having the time of his life in Indonesia 
